,threshold,accuracy,sensitivity,specificity,ppv,npv
0,0.01,0.5488621151271754,0.9688249400479616,0.01818181818181818,0.554945054945055,0.3157894736842105
1,0.02,0.5461847389558233,0.9640287769784173,0.01818181818181818,0.5537190082644629,0.2857142857142857
2,0.03,0.5461847389558233,0.9640287769784173,0.01818181818181818,0.5537190082644629,0.2857142857142857
3,0.04,0.5475234270414994,0.9640287769784173,0.021212121212121213,0.5544827586206896,0.3181818181818182
4,0.05,0.5475234270414994,0.9640287769784173,0.021212121212121213,0.5544827586206896,0.3181818181818182
5,0.060000000000000005,0.5502008032128514,0.9640287769784173,0.02727272727272727,0.5560165975103735,0.375
6,0.06999999999999999,0.5528781793842035,0.9640287769784173,0.03333333333333333,0.5575589459084604,0.4230769230769231
7,0.08,0.5555555555555556,0.9640287769784173,0.03939393939393939,0.5591098748261474,0.4642857142857143
8,0.09,0.5582329317269076,0.9640287769784173,0.045454545454545456,0.5606694560669456,0.5
9,0.09999999999999999,0.5568942436412316,0.9592326139088729,0.048484848484848485,0.5602240896358543,0.48484848484848486
10,0.11,0.5582329317269076,0.9568345323741008,0.05454545454545454,0.5611814345991561,0.5
11,0.12,0.5542168674698795,0.947242206235012,0.05757575757575758,0.5594900849858357,0.4634146341463415
12,0.13,0.5502008032128514,0.935251798561151,0.06363636363636363,0.5579399141630901,0.4375
13,0.14,0.5461847389558233,0.9256594724220624,0.06666666666666667,0.5561959654178674,0.41509433962264153
14,0.15000000000000002,0.5435073627844712,0.9184652278177458,0.0696969696969697,0.5550724637681159,0.40350877192982454
15,0.16,0.5408299866131191,0.9112709832134293,0.07272727272727272,0.5539358600583091,0.39344262295081966
16,0.17,0.5421686746987951,0.9112709832134293,0.07575757575757576,0.5547445255474452,0.4032258064516129
17,0.18000000000000002,0.5448460508701473,0.9088729016786571,0.08484848484848485,0.5565345080763583,0.42424242424242425
18,0.19,0.5448460508701473,0.9064748201438849,0.08787878787878788,0.5567010309278351,0.4264705882352941
19,0.2,0.5475234270414994,0.9064748201438849,0.09393939393939393,0.5583456425406204,0.44285714285714284
20,0.21000000000000002,0.5475234270414994,0.9064748201438849,0.09393939393939393,0.5583456425406204,0.44285714285714284
21,0.22,0.5502008032128514,0.9064748201438849,0.1,0.56,0.4583333333333333
22,0.23,0.5488621151271754,0.9040767386091128,0.1,0.5593471810089021,0.4520547945205479
23,0.24000000000000002,0.5502008032128514,0.9040767386091128,0.10303030303030303,0.5601783060921248,0.4594594594594595
