,threshold,accuracy,sensitivity,specificity,ppv,npv
0,0.01,0.5565217391304348,1.0,0.0,0.5565217391304348,
1,0.02,0.5565217391304348,1.0,0.0,0.5565217391304348,
2,0.03,0.5565217391304348,1.0,0.0,0.5565217391304348,
3,0.04,0.5565217391304348,1.0,0.0,0.5565217391304348,
4,0.05,0.5565217391304348,1.0,0.0,0.5565217391304348,
5,0.060000000000000005,0.5565217391304348,1.0,0.0,0.5565217391304348,
6,0.06999999999999999,0.5565217391304348,1.0,0.0,0.5565217391304348,
7,0.08,0.5565217391304348,1.0,0.0,0.5565217391304348,
8,0.09,0.5565217391304348,1.0,0.0,0.5565217391304348,
9,0.09999999999999999,0.5565217391304348,1.0,0.0,0.5565217391304348,
10,0.11,0.5565217391304348,1.0,0.0,0.5565217391304348,
11,0.12,0.5565217391304348,1.0,0.0,0.5565217391304348,
12,0.13,0.5565217391304348,1.0,0.0,0.5565217391304348,
13,0.14,0.5565217391304348,1.0,0.0,0.5565217391304348,
14,0.15000000000000002,0.5565217391304348,1.0,0.0,0.5565217391304348,
15,0.16,0.5565217391304348,1.0,0.0,0.5565217391304348,
16,0.17,0.5565217391304348,1.0,0.0,0.5565217391304348,
17,0.18000000000000002,0.5565217391304348,1.0,0.0,0.5565217391304348,
18,0.19,0.5565217391304348,1.0,0.0,0.5565217391304348,
19,0.2,0.5565217391304348,1.0,0.0,0.5565217391304348,
20,0.21000000000000002,0.5565217391304348,1.0,0.0,0.5565217391304348,
21,0.22,0.5652173913043478,1.0,0.0196078431372549,0.5614035087719298,1.0
22,0.23,0.5652173913043478,1.0,0.0196078431372549,0.5614035087719298,1.0
23,0.24000000000000002,0.5652173913043478,1.0,0.0196078431372549,0.5614035087719298,1.0
24,0.25,0.5652173913043478,1.0,0.0196078431372549,0.5614035087719298,1.0
25,0.26,0.5652173913043478,1.0,0.0196078431372549,0.5614035087719298,1.0
26,0.27,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
27,0.28,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
28,0.29000000000000004,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
29,0.3,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
30,0.31,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
31,0.32,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
32,0.33,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
33,0.34,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
34,0.35000000000000003,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
35,0.36000000000000004,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
36,0.37,0.5739130434782609,1.0,0.0392156862745098,0.5663716814159292,1.0
37,0.38,0.5826086956521739,1.0,0.058823529411764705,0.5714285714285714,1.0
38,0.39,0.5826086956521739,0.984375,0.0784313725490196,0.5727272727272728,0.8
39,0.4,0.5826086956521739,0.984375,0.0784313725490196,0.5727272727272728,0.8
40,0.41000000000000003,0.5826086956521739,0.984375,0.0784313725490196,0.5727272727272728,0.8
41,0.42000000000000004,0.5826086956521739,0.984375,0.0784313725490196,0.5727272727272728,0.8
42,0.43,0.5739130434782609,0.96875,0.0784313725490196,0.5688073394495413,0.6666666666666666
43,0.44,0.5826086956521739,0.96875,0.09803921568627451,0.5740740740740741,0.7142857142857143
44,0.45,0.5826086956521739,0.96875,0.09803921568627451,0.5740740740740741,0.7142857142857143
45,0.46,0.5826086956521739,0.96875,0.09803921568627451,0.5740740740740741,0.7142857142857143
46,0.47000000000000003,0.5826086956521739,0.96875,0.09803921568627451,0.5740740740740741,0.7142857142857143
47,0.48000000000000004,0.5739130434782609,0.953125,0.09803921568627451,0.5700934579439252,0.625
48,0.49,0.5739130434782609,0.953125,0.09803921568627451,0.5700934579439252,0.625
49,0.5,0.5652173913043478,0.921875,0.11764705882352941,0.5673076923076923,0.5454545454545454
50,0.51,0.5565217391304348,0.890625,0.13725490196078433,0.5643564356435643,0.5
51,0.52,0.5565217391304348,0.875,0.1568627450980392,0.5656565656565656,0.5
52,0.53,0.5652173913043478,0.875,0.17647058823529413,0.5714285714285714,0.5294117647058824
53,0.54,0.5391304347826087,0.8125,0.19607843137254902,0.5591397849462365,0.45454545454545453
54,0.55,0.5565217391304348,0.8125,0.23529411764705882,0.5714285714285714,0.5
55,0.56,0.5652173913043478,0.796875,0.27450980392156865,0.5795454545454546,0.5185185185185185
56,0.5700000000000001,0.5652173913043478,0.765625,0.3137254901960784,0.5833333333333334,0.5161290322580645
57,0.5800000000000001,0.5391304347826087,0.671875,0.37254901960784315,0.5733333333333334,0.475
58,0.59,0.5652173913043478,0.546875,0.5882352941176471,0.625,0.5084745762711864
59,0.6,0.5043478260869565,0.296875,0.7647058823529411,0.6129032258064516,0.4642857142857143
